IBF
IBD
IBE
IAD
IAE
IAF
ICF
ICD
ICE
JHBD
JHBE
JHAE
JHAF
JHCF
JGBD
JGAD
JGAE
JGCE
JGCF
IBDIB
IBDIA
IBEIA
IBEIC
IBFIB
IBFIC
IADIB
IADIA
IADIC
IAEIB
IAEIC
IAFIB
IAFIA
ICDIA
ICDIC
ICEIB
ICEIA
ICEIC
ICFIB
ICFIA
IBDJGA
IBEJHC
IBDJGB
IBDJHA
IBFJHB
IAEJGA
IAFJHA
IAEJHC
IADJGC
IAFJHB
ICFJGC
ICDJGB
ICDJHA
ICFJHC
JHBDIB
JHBEIC
JHAFIA
JHAFIC
JHCEIB
JHCFIC
JGBDIB
JGAEIB
JGAFIA
JGCFIC
JGCFIB
JHBDJGA
JHBEJGB
JHBDJHA
JHBEJHB
JHAEJHA
JHADJGA
JHAEJGB
JHAFJHC
JHCFJGA
JHCFJGC
JHCDJHB
JGBEJGA
JGBFJGB
JGBDJHA
JGBDJHC
JGADJHA
JGAFJGA
JGAEJGB
JGAEJHB
JGAEJHC
JGCDJGA
JGCEJHA
JGCEJGB
JGCEJGC
JGCFJHB
JGCFJHC
